pcm_intensity_sma,pcm_loudness_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],lspFreq_sma[0],lspFreq_sma[1],lspFreq_sma[2],lspFreq_sma[3],lspFreq_sma[4],lspFreq_sma[5],lspFreq_sma[6],lspFreq_sma[7],pcm_zcr_sma,voiceProb_sma,F0_sma,F0env_sma
1.8083268e-08,0.29847792,-22.923594,-50.203888,66.28712,-43.67452,-11.185407,34.302055,-19.842205,16.192596,-9.532327,-6.4555364,0.021212498,-6.9021173,0.63419366,1.0238476,1.1573471,1.2589269,1.3663837,1.4917599,1.9938941,2.6119163,0.39,0.32710588,0.0,113.93814
2.5820839e-08,0.3245819,-19.48184,-46.9458,65.3771,-44.369263,-14.739296,38.28673,-21.83196,7.4882245,-6.4830947,-10.864066,3.7955701,-3.5554361,0.5356391,0.99622446,1.1576933,1.2363468,1.33452,1.487896,1.9478711,2.5115929,0.3866667,0.34271201,0.0,113.93814
2.2943647e-08,0.298555,-15.7257395,-43.013855,56.097622,-44.24536,-21.836153,34.395123,-24.95616,2.445789,-2.443973,-12.68979,9.213519,-0.92482156,0.504654,0.9737,1.1570019,1.246725,1.3273226,1.5527934,2.022238,2.5247753,0.3658333,0.38299993,0.0,113.93814
1.6363556e-08,0.23234625,-10.891521,-35.020805,41.03598,-37.413498,-23.290232,28.588669,-28.092344,-4.363597,-7.625938,-14.683541,13.916642,0.15512976,0.45461512,0.95128804,1.1608024,1.2596298,1.3514286,1.6401504,2.1346939,2.5791545,0.30666664,0.40369716,0.0,113.93814
1.5894428e-09,0.11252434,-6.904938,-28.250696,24.862474,-28.395006,-19.651592,27.774893,-24.589304,-6.6655083,-11.978809,-14.823716,15.404793,2.6541874,0.42712626,0.8465984,1.1249682,1.2610106,1.3722614,1.6503865,2.2708552,2.7134008,0.24166667,0.4102267,0.0,113.93814
2.3764476e-10,0.05966513,-3.8018389,-23.926308,14.907455,-23.132036,-13.416476,30.16265,-19.610884,-7.9828105,-16.45386,-14.232941,19.37712,0.7578332,0.38535056,0.7298618,1.0903447,1.2471794,1.3867148,1.6245562,2.3246238,2.7390223,0.18416667,0.36882594,0.0,113.93814
4.7032944e-11,0.044210386,-3.415945,-24.010485,9.2273445,-22.007753,-11.68597,29.70002,-18.425066,-8.929232,-17.721727,-16.919088,19.159548,0.5187624,0.3742309,0.59644544,1.0371839,1.2416326,1.376835,1.5460048,2.346298,2.7438352,0.17,0.34545586,0.0,113.93814
4.9108e-11,0.045714665,-3.576437,-26.055735,6.993759,-25.600807,-14.080583,26.288513,-23.348246,-9.006439,-23.423952,-18.501955,20.638361,-0.07857863,0.3778031,0.56869453,1.0314428,1.2478648,1.3863683,1.5621496,2.354699,2.74465,0.17,0.3284062,0.0,113.93814
6.466543e-11,0.052550107,-5.515995,-25.958328,5.5427604,-23.480623,-14.457644,24.650482,-21.325207,-13.901769,-23.115389,-19.427958,15.948869,2.2120295,0.37689435,0.5668326,1.0333828,1.2387491,1.3945583,1.5948375,2.3485963,2.746453,0.18833333,0.30527338,0.0,113.93814
2.6393126e-11,0.037639946,-5.860192,-24.460556,6.447766,-22.16442,-14.983478,23.834482,-16.373957,-10.650827,-16.556892,-13.703739,9.840871,-0.4815456,0.3732532,0.6227844,1.0365949,1.2309034,1.4040374,1.6670681,2.3597593,2.7585714,0.195,0.2966458,0.0,113.93814
2.0628726e-11,0.02979928,-6.303103,-20.892626,5.134131,-18.496508,-16.548292,20.491247,-14.136177,-10.745106,-8.380747,-10.167335,5.033209,-2.4644487,0.36308515,0.6723253,1.0397134,1.2259059,1.4134674,1.7504907,2.379189,2.7668107,0.20083334,0.2645824,0.0,113.93814
1.1527158e-12,0.011898782,-5.674721,-16.979273,5.511179,-18.036554,-20.775131,17.772581,-14.7491,-3.8730536,-0.38994613,-8.830532,3.4538105,-1.2806576,0.35055396,0.7121355,1.046986,1.2460715,1.4145298,1.8232627,2.4215355,2.7647803,0.19416666,0.30579942,0.0,113.93814
3.4577368e-13,0.008571141,-5.4221916,-14.765817,6.1415133,-15.562503,-22.59379,15.412544,-18.751726,-4.943405,0.15639353,-11.787556,7.4489617,2.862796,0.33649698,0.7041624,1.0589771,1.2542521,1.4006587,1.8627421,2.4355805,2.7414277,0.1825,0.3082488,0.0,113.93814
1.2676178e-12,0.011506055,-4.7118306,-13.1152725,8.315263,-16.182367,-21.752913,16.526194,-17.990816,-4.04921,6.191733,-11.589959,7.772419,2.1677816,0.3308773,0.6894798,1.0739731,1.2645359,1.3907872,1.8888779,2.4199126,2.7275305,0.14916666,0.37303385,0.0,113.93814
2.1897907e-12,0.01867506,-4.4184318,-14.506707,4.5752444,-16.325335,-15.40805,18.486406,-15.406326,-1.3692704,10.400526,-7.78289,7.9359627,2.1118236,0.33645716,0.653403,1.0780452,1.2600445,1.3920865,1.905364,2.397886,2.7410946,0.125,0.37535462,0.0,113.93814
2.9967329e-12,0.022002699,-4.672691,-16.15825,-0.11984936,-16.039488,-11.054919,20.125383,-10.326497,1.2130342,11.442314,-8.151344,5.828093,2.4402153,0.35704044,0.6179901,1.0742836,1.2649746,1.4141756,1.9285587,2.3898697,2.7827187,0.1275,0.41199145,0.0,113.93814
2.0518344e-11,0.0320141,-5.6359673,-17.829264,-2.199271,-11.179591,-2.9264748,22.722115,-6.8831863,4.398413,2.678048,-7.8288627,6.625917,1.3353819,0.3794458,0.60133713,1.043666,1.2753891,1.435349,1.9262985,2.3904278,2.8076966,0.145,0.42010367,0.0,113.93814
1.9826711e-11,0.029574877,-5.7685184,-18.62887,0.31335434,-6.7920456,-1.2221618,21.70256,-8.085369,0.48061514,-9.024503,-9.23714,11.665581,-1.0111512,0.39053324,0.6115355,1.0142885,1.2872968,1.4409729,1.897646,2.4078496,2.804229,0.15583332,0.377534,0.0,113.93814
2.5936558e-11,0.035592664,-5.8499055,-16.064184,3.9349573,-8.223567,-4.434976,17.259249,-12.9463,-0.22296058,-9.604577,-5.877588,13.509374,-5.499422,0.38337412,0.6419435,1.0005546,1.2931749,1.438399,1.8803977,2.406596,2.7791538,0.16000001,0.34998286,0.0,113.93814
1.4756571e-11,0.0313575,-5.074345,-16.806618,3.7812393,-13.779124,-14.116836,10.443091,-15.675265,-2.3346527,-7.1047406,-8.411342,12.458431,-3.718667,0.3609688,0.6587439,1.0062062,1.2842846,1.4286238,1.8775266,2.3938038,2.768306,0.1625,0.30804864,0.0,113.93814
1.5563101e-11,0.034053776,-4.465694,-16.35072,2.9181278,-19.498096,-20.03261,6.3657475,-13.938228,-1.3798676,-1.1298414,-9.536102,8.467728,-2.5084574,0.34226513,0.6485302,1.0063674,1.2635609,1.4220628,1.8692149,2.3708756,2.7622395,0.15666667,0.33047134,0.0,113.93814
1.0029408e-11,0.029159704,-2.4244015,-18.249771,0.75757235,-18.80658,-20.6004,11.976573,-5.8932137,-3.6963253,-6.6643524,-12.074767,10.361125,2.4339986,0.33808312,0.6101432,0.9984646,1.2349004,1.422986,1.8715339,2.360204,2.7664194,0.18333332,0.28565446,0.0,113.93814
4.033725e-12,0.024011493,-2.8604405,-18.052004,0.3947514,-17.065645,-18.080734,16.49658,-0.6638054,-2.2686243,-6.465921,-11.50314,9.515803,1.9429032,0.3450977,0.5987291,0.9863114,1.2162114,1.4256487,1.863243,2.3714352,2.7565958,0.22250001,0.2809055,0.0,113.93814
2.9966505e-12,0.016585438,-1.8171791,-20.16345,1.9960428,-15.39571,-22.111868,16.642921,0.2704334,-0.98568183,-4.6964765,-11.047756,11.360591,5.114261,0.34253764,0.625387,0.97939086,1.1965064,1.4039145,1.8332132,2.3563442,2.7464058,0.2625,0.27987295,0.0,113.93814
3.4573258e-12,0.017279943,-2.2921789,-24.047785,5.2416935,-15.897178,-28.394379,11.846008,-5.2433596,3.0053494,5.1014485,-7.425644,9.041053,3.9015963,0.33504876,0.6589265,0.95499516,1.1746117,1.3513693,1.7281126,2.3245602,2.743124,0.22499998,0.32515666,0.0,113.93814
4.8418175e-12,0.019078828,-0.71767855,-30.57557,7.8551407,-18.78223,-37.429005,3.4890528,-14.464511,6.882402,8.896144,-6.3289533,9.080426,7.541695,0.33895525,0.67946273,0.9302864,1.1509398,1.2967242,1.6182483,2.2898223,2.750183,0.17750001,0.36079502,0.0,113.93814
1.5219217e-11,0.033898607,-1.0118641,-39.6766,5.43474,-15.136108,-36.17766,4.7316985,-21.3688,8.93979,8.4780245,-9.949523,8.861169,9.295424,0.38644385,0.67861384,0.87648267,1.1301858,1.2708588,1.5153966,2.245032,2.7585068,0.14666668,0.41999134,0.0,113.93814
1.2507727e-10,0.05515039,-0.6593569,-49.27756,5.068482,-11.731793,-30.027151,4.747799,-24.591055,12.958603,4.6476946,-14.497556,11.493507,13.920657,0.45562634,0.6886371,0.8315773,1.102798,1.2603544,1.455738,2.1777198,2.7428548,0.17083335,0.47145733,0.0,113.93814
1.9794821e-10,0.071963996,-0.51027703,-55.774403,6.693657,-6.1877594,-27.00752,3.9211552,-21.219454,15.0397,0.8326747,-16.54062,13.117209,14.448132,0.5106955,0.6959818,0.7920151,1.0886723,1.2590215,1.4552088,2.1434617,2.7192986,0.20333333,0.5099232,0.0,113.93814
5.5012267e-10,0.10017965,0.60999507,-59.226017,11.287617,-10.033515,-30.449217,-4.0923357,-21.668396,20.403122,-3.8163471,-16.633032,13.349532,14.631555,0.5219299,0.704253,0.7876255,1.0956478,1.2706776,1.521925,2.1598117,2.6991787,0.22583334,0.4849417,0.0,113.93814
1.0925857e-09,0.12131474,2.848055,-59.908722,10.464794,-15.690079,-31.701185,-7.414181,-22.316568,21.250748,-6.3930154,-15.253643,13.776828,11.797206,0.48997,0.69619733,0.78675145,1.1166315,1.2857902,1.5700192,2.2049701,2.6926968,0.21666665,0.42606243,0.0,113.93814
1.9605595e-09,0.15175104,5.002785,-61.05951,8.115111,-22.475136,-28.163866,-4.5107555,-27.526724,21.242548,-8.26252,-17.817595,18.748016,11.641533,0.4589255,0.68122786,0.78542286,1.1208152,1.2938352,1.5341039,2.1732578,2.6793954,0.20666666,0.33375415,0.0,113.93814
1.5981229e-09,0.11255697,5.8162284,-62.34854,8.222303,-24.068857,-22.267195,1.1274005,-32.5657,18.912405,-7.8537045,-16.576777,20.481245,8.226721,0.4507382,0.6674898,0.7919585,1.1142857,1.2922529,1.455359,2.0862653,2.660496,0.20583332,0.2749763,0.0,113.93814
1.3509661e-09,0.10574162,4.7032623,-65.491264,10.544505,-26.785446,-25.17025,2.9251242,-37.200184,17.945246,-7.492283,-19.054972,19.251059,5.8532867,0.46425712,0.6689787,0.80801296,1.1171288,1.2857865,1.3969728,2.0109663,2.653487,0.22500001,0.25536886,0.0,113.93814
5.273877e-10,0.07929817,4.6177163,-64.96364,14.22683,-27.58669,-26.646996,6.010472,-36.808887,18.464722,-3.1055086,-14.408053,16.299086,6.9896526,0.46643305,0.6755657,0.83489275,1.1248456,1.277563,1.3868083,1.9618353,2.6585224,0.24166667,0.25688252,0.0,113.93814
3.581875e-09,0.15702137,4.414067,-62.82402,15.597791,-29.971163,-28.783606,8.125656,-35.48996,16.72277,0.42343244,-10.2482195,14.331798,7.178266,0.45544907,0.6837315,0.8648689,1.1406507,1.2686983,1.4096003,1.9694033,2.6599548,0.24833333,0.2632235,0.0,113.93814
