F0final_sma,voicingFinalUnclipped_sma,jitterLocal_sma,jitterDDP_sma,shimmerLocal_sma,logHNR_sma,audspec_lengthL1norm_sma,audspecRasta_lengthL1norm_sma,pcm_RMSenergy_sma,pcm_zcr_sma,audSpec_Rfilt_sma[0],audSpec_Rfilt_sma[1],audSpec_Rfilt_sma[2],audSpec_Rfilt_sma[3],audSpec_Rfilt_sma[4],audSpec_Rfilt_sma[5],audSpec_Rfilt_sma[6],audSpec_Rfilt_sma[7],audSpec_Rfilt_sma[8],audSpec_Rfilt_sma[9],audSpec_Rfilt_sma[10],audSpec_Rfilt_sma[11],audSpec_Rfilt_sma[12],audSpec_Rfilt_sma[13],audSpec_Rfilt_sma[14],audSpec_Rfilt_sma[15],audSpec_Rfilt_sma[16],audSpec_Rfilt_sma[17],audSpec_Rfilt_sma[18],audSpec_Rfilt_sma[19],audSpec_Rfilt_sma[20],audSpec_Rfilt_sma[21],audSpec_Rfilt_sma[22],audSpec_Rfilt_sma[23],audSpec_Rfilt_sma[24],audSpec_Rfilt_sma[25],pcm_fftMag_fband250-650_sma,pcm_fftMag_fband1000-4000_sma,pcm_fftMag_spectralRollOff25.0_sma,pcm_fftMag_spectralRollOff50.0_sma,pcm_fftMag_spectralRollOff75.0_sma,pcm_fftMag_spectralRollOff90.0_sma,pcm_fftMag_spectralFlux_sma,pcm_fftMag_spectralCentroid_sma,pcm_fftMag_spectralEntropy_sma,pcm_fftMag_spectralVariance_sma,pcm_fftMag_spectralSkewness_sma,pcm_fftMag_spectralKurtosis_sma,pcm_fftMag_spectralSlope_sma,pcm_fftMag_psySharpness_sma,pcm_fftMag_spectralHarmonicity_sma,mfcc_sma[1],mfcc_sma[2],mfcc_sma[3],mfcc_sma[4],mfcc_sma[5],mfcc_sma[6],mfcc_sma[7],mfcc_sma[8],mfcc_sma[9],mfcc_sma[10],mfcc_sma[11],mfcc_sma[12],mfcc_sma[13],mfcc_sma[14]
0.0,0.6671851,0.0,0.0,0.0,-100.0,0.92547995,1.906854,0.045398474,0.29409721,0.036075924,0.09564295,0.16931663,0.25479683,0.5908206,0.68275183,1.0825757,1.5942916,1.5269068,1.9861107,1.8020134,1.4980521,1.6366562,2.5631325,4.2986317,3.7236006,3.8503149,3.1577215,3.5052192,3.174373,3.2138355,2.7302253,2.2475255,1.7493435,1.350864,1.0574074,0.00014876771,0.29255792,1989.5834,2083.3333,2302.0833,2843.75,0.30353642,2202.9836,4.883387,196138.94,1.0873548,6.058811,-0.025776764,1.4923023,0.07170957,7.095423,-77.64006,39.737686,-7.3332877,-8.009824,9.596702,-14.551869,16.044111,-23.41652,-6.4537334,19.94115,-7.1925735,-5.0000978,-7.8223977
0.0,0.6831334,0.0,0.0,0.0,-100.0,0.80904907,1.7933893,0.034784812,0.29340276,0.03887461,0.08854268,0.16891344,0.26154557,0.5731794,0.7118923,1.1060404,1.5236773,1.629435,2.208,1.8018707,1.3967671,1.563244,2.681797,4.04164,3.3380651,3.3595467,2.808324,2.9730504,2.701046,2.9521742,2.373515,2.2256556,1.7299409,1.332355,1.0390296,0.00020302022,0.1632011,1968.75,2177.0833,2489.5833,3135.4167,0.29446527,2307.0251,5.2111535,298491.03,0.7641816,4.5095544,-0.013759869,1.5253962,0.041343685,4.708822,-69.789116,33.9298,-13.256562,-12.9348,8.22033,-18.152925,14.545266,-23.1421,-7.9839993,21.096184,-6.999859,-2.9524682,-4.827746
0.0,0.6685087,0.0,0.0,0.0,-100.0,0.73687553,1.6244043,0.02774761,0.28229165,0.038813695,0.08738029,0.17831515,0.27979288,0.6071069,0.78757167,1.0541556,1.4255127,1.6206583,2.1469223,1.6035873,1.2207668,1.3520823,2.413656,3.3630838,2.8039334,2.8110113,2.5340595,2.7721698,2.4770498,2.6966553,2.1588256,2.0367973,1.5863622,1.2238021,0.95443875,0.00028158823,0.10962486,1958.3334,2312.5,2770.8333,3406.25,0.24342197,2411.5112,5.5193725,386230.1,0.41647407,2.9554145,-0.0086786905,1.5574526,0.026052326,8.636928,-71.15829,40.753826,-21.610178,-12.193751,7.382644,-23.44519,16.473997,-22.917593,-7.6538887,19.292612,-5.2032886,-2.5298307,-6.6360188
0.0,0.64895695,0.0,0.0,0.0,-100.0,0.6787507,1.4540019,0.02304213,0.2545139,0.039580688,0.08987393,0.18938886,0.29338536,0.65482837,0.8605812,0.9528546,1.3477987,1.567617,1.8749372,1.3881116,1.0846552,1.1640129,1.9236531,2.6013925,2.4318926,2.3633697,2.3117034,2.6860218,2.4607944,2.437389,2.0694392,1.7469343,1.3690325,1.0624071,0.8323944,0.00025153323,0.06823025,1989.5834,2395.8333,2791.6667,3427.0833,0.21402259,2436.6487,5.6998997,407580.66,0.21602505,2.9961565,-0.0052207396,1.5659014,0.018403536,8.143083,-70.329994,39.077213,-21.08511,-9.159827,8.223603,-22.492493,17.097742,-22.400696,-3.8343136,17.424707,-4.2699084,5.3209157,-5.452515
0.0,0.6510858,0.0,0.0,0.0,-100.0,0.58966964,1.2921381,0.019791534,0.21215278,0.039951712,0.09135622,0.19259419,0.28995004,0.6611538,0.8856594,0.84516126,1.2958859,1.4831486,1.5906891,1.2402948,0.9935825,1.0736383,1.5355892,2.008999,2.1640403,2.014211,2.0633671,2.4438798,2.401703,2.1268644,1.9693336,1.4516472,1.142757,0.89021844,0.69991326,0.00019121531,0.05070131,1968.75,2281.25,2656.25,3322.9167,0.17639081,2338.736,5.683396,393817.16,0.36041203,3.257454,-0.0039556096,1.530727,0.013161066,11.625542,-74.2163,40.570293,-22.234991,-3.8321784,7.2342715,-22.595243,18.559998,-22.89493,-3.101486,15.840664,-4.719875,2.1126564,-6.620333
0.0,0.66624826,0.0,0.0,0.0,-100.0,0.49380994,1.1165723,0.015290056,0.16597223,0.04229787,0.09402279,0.19548607,0.2791067,0.6237925,0.82008797,0.76691246,1.2071179,1.3558178,1.383145,1.1541994,0.97441024,1.0165151,1.2980666,1.6356491,1.8460196,1.657298,1.7491721,2.0591562,2.1302614,1.7754501,1.7023989,1.1327521,0.8918484,0.69433886,0.5455571,0.00013489788,0.03233309,1927.0834,2104.1667,2312.5,3302.0833,0.14779095,2193.3894,5.4610133,385222.53,0.5695789,3.8011684,-0.0027170386,1.4783179,0.0077070626,14.570209,-70.85781,36.42409,-15.903107,-2.906764,6.0313287,-25.216974,21.698313,-20.696997,-8.699601,14.379918,-8.373294,1.9164066,-0.742363
0.0,0.69398946,0.0,0.0,0.0,-65.5236,0.40117478,0.9581658,0.016214088,0.12291667,0.052496802,0.112760685,0.2306677,0.3076854,0.6126128,0.7538884,0.7943669,1.1671888,1.1931659,1.2663767,1.12592,0.9972191,0.9227972,1.1000551,1.3045053,1.4013648,1.2600037,1.3600273,1.6093826,1.6838797,1.4109408,1.4024712,0.97202444,0.776808,0.6110894,0.48261523,0.001347555,0.012829126,1302.0834,1447.9166,1906.25,2687.5,0.13389128,1651.7645,5.290087,442277.1,0.9845357,4.6301384,-0.0019640832,1.1767901,0.003989956,23.331724,-55.440807,29.615652,-9.945638,0.68893766,6.541805,-29.750284,18.721699,-12.76554,-12.514909,10.294693,-13.463529,-3.8464425,2.1874588
159.81087,0.71741676,0.0,0.0,0.0,-30.489288,0.5484399,0.91205233,0.04122879,0.083333336,0.09594924,0.22588877,0.41554284,0.5053013,0.8256014,0.8630045,1.0612262,1.3702387,1.1459726,1.2979498,1.2113589,1.043909,0.8101875,0.934449,1.0198811,0.9796293,0.9360757,1.04946,1.2887889,1.2195556,1.1131059,1.1886097,1.027898,0.84888047,0.6851255,0.5497722,0.08557641,0.019734936,739.5833,854.1667,1229.1666,1854.1666,0.3641778,1039.3337,4.6601005,338545.7,2.1140525,14.754036,-0.05841886,0.79569054,0.060219306,34.56503,-31.33755,21.68496,-3.0710776,-0.021454573,11.531734,-28.301565,8.624326,-7.930153,-18.190798,7.448809,-13.326446,-7.797558,5.125009
159.07286,0.766988,0.0,0.0,0.0,5.401209,0.7354145,1.1082305,0.09001257,0.05416667,0.26138774,0.6941839,1.0031257,1.1486212,1.5478373,1.4266642,1.7645403,1.9987968,1.4455177,1.5805744,1.4772547,1.1298735,0.7222473,0.7488281,0.7736432,0.70604855,0.73329824,0.8401913,1.0525337,0.90923023,0.93221694,1.2770199,1.4706125,1.2605304,1.0487665,0.8604493,0.25845975,0.024279526,177.08333,260.41666,604.1667,854.1667,0.6756799,429.32877,3.9894905,210010.27,3.413183,29.514986,-0.25774285,0.40005946,0.29713205,45.069042,-9.549625,12.065064,-1.2705613,4.335016,16.782244,-21.458918,-1.8268632,-0.16124725,-12.055629,5.0438066,-10.381013,-10.481233,4.6878552
157.7666,0.80091435,0.0,0.0,0.65037084,5.890236,1.0004116,1.6261286,0.1405558,0.037499998,0.66424304,1.7994976,2.0886114,2.5338101,3.027725,2.8069727,3.0320861,3.0581353,2.274213,2.181799,1.9945034,1.2015862,0.69427603,0.6094095,0.64219433,0.5998761,0.6748515,0.7846609,0.9221895,0.75041,0.8832274,1.7107555,2.2880466,1.9913498,1.6765928,1.3883177,0.70761555,0.051550835,166.66667,187.5,302.08334,510.41666,0.85469276,271.75912,3.4560812,51579.527,3.9389575,35.572826,-0.49751163,0.28529486,0.6730407,51.01604,0.4604168,6.7611375,-3.213932,1.1945305,19.207857,-16.044977,-9.655666,3.770295,-7.0626416,6.715973,-3.7145975,-12.52285,4.174248
157.41093,0.8169694,0.049813796,0.041622266,0.51160353,7.654467,1.0956707,2.2905884,0.16339044,0.03263889,1.2021477,3.1549327,3.2181149,4.2142053,5.053946,4.8867855,4.5638328,4.033745,3.526643,2.8395052,2.6561842,1.2545136,0.71822816,0.522582,0.6201585,0.60340613,0.7127628,0.8207214,0.86645585,0.6719229,0.92367846,2.2706254,3.168605,2.7695434,2.3394594,1.942594,1.0473891,0.07214843,156.25,177.08333,343.75,468.75,0.73452955,282.02908,3.3948448,49521.332,3.3611033,29.302423,-0.6218006,0.2971915,0.95821095,53.167767,2.204839,4.6949162,-3.5520916,-0.33961472,19.399664,-15.7172365,-13.203987,10.677333,3.333991,10.824043,-0.02919682,-13.343864,2.035374
157.4107,0.8202298,0.039655704,0.030190563,0.23154032,11.753334,1.1243939,2.7389166,0.15676229,0.030555556,1.5703474,3.9544563,3.7006948,5.1355824,6.707153,6.806839,5.4847145,4.421695,4.636176,3.2584665,3.1786973,1.2356337,0.74923426,0.47161475,0.6519374,0.64953613,0.8067686,0.8812104,0.8423419,0.6184303,0.97940415,2.6563454,3.6701708,3.202633,2.7013216,2.2404385,1.1766882,0.07391953,156.25,197.91667,437.5,552.0833,0.51153094,325.16275,3.5604765,61412.22,2.5040653,17.971022,-0.5583058,0.3412207,0.9769524,53.04294,0.9657523,3.2903767,-6.714352,-5.1217723,21.94235,-13.056899,-18.60443,11.308038,8.455325,13.529279,4.291207,-12.25715,-1.0826286
157.68889,0.8162474,0.023053741,0.012778312,0.12813672,16.144375,1.0554658,2.7814121,0.13885628,0.028125001,1.572164,3.8158522,3.4236434,4.886845,7.327753,7.6112857,5.5366864,4.2427416,5.331657,3.405297,3.236845,1.1582526,0.75902224,0.45546997,0.69904613,0.7173156,0.9381135,0.93696815,0.8166185,0.5741775,0.9687602,2.6062858,3.5171604,3.0628004,2.5794508,2.136505,0.8856345,0.06368425,156.25,197.91667,468.75,697.9167,0.39394,346.07178,3.5919993,72501.01,2.0281901,12.367771,-0.42609814,0.3600943,0.79345816,55.72758,-2.9752874,4.2601047,-8.973465,-8.518634,28.358408,-7.6785026,-19.613352,8.984187,7.57835,13.311812,7.0418916,-9.860786,-6.279781
