Feature,Correlation,p-value
audSpec_Rfilt_sma_de[20]_peakDistStddev,0.23473213625940814,0.009255273728460855
audSpec_Rfilt_sma_de[22]_meanPeakDist,0.32241772068836505,0.0002925892265512577
audSpec_Rfilt_sma_de[22]_peakDistStddev,0.31974569286898635,0.00033058722184465194
audSpec_Rfilt_sma_de[23]_meanPeakDist,0.33424234467608294,0.0001681353341051411
audSpec_Rfilt_sma_de[23]_peakDistStddev,0.3222310018912876,0.00029510717878036174
audSpec_Rfilt_sma_de[24]_meanPeakDist,0.32758302336487444,0.0002303330222159358
audSpec_Rfilt_sma_de[24]_peakDistStddev,0.3259256848447723,0.00024882579493532464
audSpec_Rfilt_sma_de[25]_meanPeakDist,0.33974692535886863,0.00012891449496377826
audSpec_Rfilt_sma_de[25]_peakDistStddev,0.335683350758269,0.00015691643888160234
mfcc_sma_de[9]_meanFallingSlope,-0.23492445236661447,0.009196225746834376
mfcc_sma_de[10]_meanRisingSlope,-0.239026753298151,0.008013314866327417
mfcc_sma_de[10]_meanFallingSlope,-0.24407908259273758,0.006742693169818455
mfcc_sma_de[10]_stddevFallingSlope,-0.23584857296053538,0.008917093788706372
mfcc_sma_de[11]_peakRangeAbs,-0.29145668940635583,0.0011254889681375133
mfcc_sma_de[13]_peakMeanAbs,-0.23251280974826166,0.009961245702536056
mfcc_sma_de[13]_peakMeanMeanDist,-0.2331473571024572,0.009754713600874015
mfcc_sma_de[1]_kurtosis.1,0.2942955419159607,0.0010007369795261738
mfcc_sma_de[2]_kurtosis.1,0.25513780322429025,0.004565750588206455
mfcc_sma_de[7]_skewness.1,-0.2957289022558086,0.0009426737111343938
mfcc_sma_de[7]_quartile2.1,0.25595859762752876,0.004432582642255137
lspFreq_sma_de[1]_skewness,-0.27800798899568546,0.001932293615647003
lspFreq_sma_de[1]_kurtosis,0.2501346382639207,0.005457676337641513
lspFreq_sma_de[3]_amean,-0.23840605971984868,0.008183175076469873
lspFreq_sma_de[4]_linregc1,-0.2338434795521262,0.00953248332044061
