Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.66222095,-36.2762,44.70048,-0.01089064,-0.050215404,0.5809412,54.69469,25.739136,21.879417,-14.1127205,23.837784,0.0292828,1.785378,6.6463523,-3.214502,41.262753,800.7007,1676.9117,-21.59435,2093.715,1502.1251,-54.008533,3150.6484,1371.3666,-50.33845
0.6888872,-35.124992,44.34727,-0.013634767,-0.04746865,0.4616088,51.54585,27.665833,19.10048,-11.999314,24.007978,0.03504472,1.8858967,6.3327804,-3.0698154,40.6125,801.91455,1532.1488,-22.29777,2094.4426,1256.0338,-53.634167,3179.5798,1188.5372,-50.513844
0.6871807,-33.53786,44.249218,-0.024187185,-0.045257952,0.51684076,49.734226,26.637268,18.243095,-10.455085,24.192627,0.030039482,1.1472491,5.807974,-2.8259811,38.875473,820.5296,1367.3737,-23.003794,2089.3489,1129.6221,-50.943462,3194.6582,1003.55414,-49.390427
0.75390196,-30.30808,43.649525,-0.028525667,-0.040890694,0.77824324,47.90866,24.79428,16.990374,-7.523688,24.323431,0.0143672,1.2865461,4.503296,-2.3399837,36.82301,675.6692,1240.5553,-17.934172,1762.143,993.5402,-41.130688,2863.8,809.3326,-46.814316
0.76675415,-26.99293,44.330975,-0.027449124,-0.037906293,0.74086434,49.2453,20.860014,19.084024,-6.5213356,24.385231,0.0103534805,1.7515953,3.8877232,-2.2577,36.733475,721.6346,1287.9371,-77.23748,1907.6318,1091.1919,-91.06069,2941.5452,953.7886,-97.98319
0.7925,-24.306175,42.86496,-0.023790723,-0.028236112,0.8682832,47.206696,18.785395,18.866678,-3.2462914,0.0,0.0,0.0,0.0,0.0,0.0,558.57587,1319.7169,-136.19208,1609.1381,1095.9514,-141.9206,2658.6804,929.94415,-149.48006
0.74667376,-23.284256,38.605755,-0.02000187,-0.016189314,1.0182195,46.912426,13.143677,25.063156,-1.4078321,0.0,0.0,0.0,0.0,0.0,0.0,755.9987,1429.2427,-201.0,1864.2345,1205.0924,-201.0,2902.2312,858.69,-201.0
0.7051356,-22.820337,32.662975,-0.020870408,0.00017311487,1.1408377,44.50765,6.61195,33.931152,3.577157,0.0,0.0,0.0,0.0,0.0,0.0,490.89212,1652.3414,-201.0,1474.6405,1243.1432,-201.0,2588.2278,838.8618,-201.0
0.6615326,-20.32321,27.149458,-0.024090787,0.010868152,1.0479196,42.30876,-3.239722,46.955982,6.1741843,0.0,0.0,0.0,0.0,0.0,0.0,449.51562,1701.4948,-201.0,1527.2285,1190.4113,-201.0,2588.048,807.4082,-201.0
0.58442414,-15.781611,22.623795,-0.03204084,0.018197393,0.7259595,36.484623,-10.35963,54.832996,8.565845,0.0,0.0,0.0,0.0,0.0,0.0,531.5298,1388.2242,-201.0,1650.9193,991.8369,-201.0,2647.9895,851.0682,-201.0
0.6377547,-7.623238,14.102848,-0.032181945,0.024527319,0.5852674,28.746084,-22.269188,58.323895,7.5762963,0.0,0.0,0.0,0.0,0.0,0.0,800.8482,1039.16,-201.0,1842.8135,876.4287,-201.0,2776.458,804.1286,-201.0
0.75724316,3.1859999,3.8936265,-0.020396374,0.03352544,0.43697706,21.571007,-37.01559,58.599625,0.18682735,0.0,0.0,0.0,0.0,0.0,0.0,909.5605,696.4963,-201.0,1941.5817,937.32794,-201.0,2855.9817,956.84735,-201.0
0.88935566,13.815525,-1.7779226,-0.00646572,0.03649108,0.32880616,13.668449,-51.456844,56.111145,-8.131565,0.0,0.0,0.0,0.0,0.0,0.0,654.78217,525.20447,-201.0,1706.2787,1014.7005,-201.0,2624.8835,1034.293,-201.0
0.9266625,21.80271,-5.318853,0.008112227,0.03665712,0.3196057,6.1565685,-60.02763,55.482655,-16.257113,0.0,0.0,0.0,0.0,0.0,0.0,851.602,645.06396,-201.0,1883.5531,1001.1795,-201.0,2795.9475,984.2828,-201.0
0.93928033,24.279928,-4.501883,0.016958676,0.033785187,0.3359247,3.1811764,-61.42171,56.427948,-15.540066,0.0,0.0,0.0,0.0,0.0,0.0,1164.2516,854.583,-201.0,2168.6367,962.688,-201.0,3052.7092,919.73737,-201.0
0.9147895,24.454124,-5.1151853,0.024815151,0.031470645,0.38278726,3.7727795,-60.993176,57.65025,-16.30554,0.0,0.0,0.0,0.0,0.0,0.0,1141.2357,1035.8069,-201.0,2105.9705,1148.9396,-201.0,3014.465,949.21173,-201.0
0.7628622,19.924515,-4.2423596,0.021276573,0.028551893,0.3839927,8.05412,-53.303394,55.757427,-9.515115,0.0,0.0,0.0,0.0,0.0,0.0,888.3569,933.1513,-201.0,1893.9982,1275.7633,-201.0,2775.7654,1021.50195,-201.0
0.60967237,16.523935,-6.507994,0.02188393,0.02610003,0.29764447,11.013256,-48.75148,52.855785,-12.865666,0.0,0.0,0.0,0.0,0.0,0.0,669.827,918.7708,-201.0,1688.788,1470.6025,-201.0,2519.0967,1082.7128,-201.0
0.4744637,13.091311,-9.473275,0.028759712,0.022839328,0.20514177,14.170245,-42.42714,51.67116,-16.031885,0.0,0.0,0.0,0.0,0.0,0.0,865.2471,956.7759,-201.0,1851.5938,1288.1945,-201.0,2622.64,1101.0718,-201.0
0.40831318,10.717149,-9.5378475,0.03543538,0.0142506175,0.12821586,16.321482,-36.559605,51.062695,-24.152433,0.0,0.0,0.0,0.0,0.0,0.0,713.11456,1094.479,-201.0,1704.1732,1027.5186,-201.0,2535.4912,987.88055,-201.0
0.37860882,0.9115073,0.5889797,0.029606827,-0.0021424927,0.20439033,25.983072,-24.424322,49.607513,-26.791069,0.0,0.0,0.0,0.0,0.0,0.0,553.8986,1122.088,-201.0,1560.8881,819.53436,-201.0,2466.4346,788.1499,-201.0
0.61611825,-8.824734,11.990486,0.0315453,-0.016051946,0.60864824,37.95766,-17.392492,44.12882,-21.759184,0.0,0.0,0.0,0.0,0.0,0.0,368.4076,1286.6133,-136.28207,1356.6051,927.29346,-139.99318,2333.6309,686.64923,-143.61038
1.0058556,-15.869409,21.616982,0.02882084,-0.024318011,1.0192391,51.272953,-18.52237,38.737446,-16.256123,27.875196,0.0,0.0,2.5285842,1.3160825,25.515388,381.26538,1307.8573,-71.73826,1352.9813,1074.5771,-78.09054,2357.9653,711.80145,-87.87113
1.3993326,-14.430176,24.838781,0.030112587,-0.021821717,1.2856395,56.26819,-22.787897,27.15988,-7.797329,27.521357,0.0,0.0,1.3448315,1.9642462,27.165705,521.55493,1507.8735,-6.4416695,1427.1964,1171.3607,-16.022665,2542.9185,822.1307,-32.53525
1.5788003,-11.982444,26.944304,0.026207266,-0.018993018,1.1573005,61.25145,-27.262733,17.812506,-5.8573165,26.807938,0.0,0.0,-0.62974715,2.2161753,26.469152,554.9738,1532.6367,-6.893266,1524.2031,1174.0822,-14.218541,2510.3015,1561.6105,-31.404516
1.6282765,-9.569388,27.465975,0.028925465,-0.018398413,1.1350087,63.102245,-28.229546,6.171135,-4.9157233,25.903708,0.0,0.0,-1.8011135,1.5330375,24.155685,575.9849,1512.2731,-7.215515,1517.6659,1242.8165,-9.954911,2540.8606,1608.3973,-28.507553
1.5861235,-7.872474,25.28074,0.027781315,-0.021542436,1.0910734,66.5355,-33.332333,3.0456345,-7.6008735,25.132345,0.0,0.0,-1.2927829,0.5369869,21.201227,447.95053,1435.6182,-6.4910946,1364.4513,1275.2787,-4.9067497,2310.0657,1636.7675,-24.932602
1.5438032,-6.3865266,23.499855,0.03166715,-0.024594182,1.0489086,60.74249,-28.053497,-7.3549094,-7.1467137,24.535753,0.0,0.0,0.6133635,0.8621947,22.17941,423.96106,1376.9274,-4.835708,1261.5172,1222.549,-0.2545778,2295.926,938.73926,-24.564047
1.4658861,-5.0434403,24.538794,0.030198522,-0.026775071,0.8216389,57.768017,-24.507729,-14.922013,-8.275702,24.189657,0.0,0.54411757,3.0194426,1.7006811,22.826376,408.02298,1412.9222,-4.900145,1222.3536,1191.103,1.569821,2197.09,943.6255,-24.226831
1.3695792,-4.2162185,26.101458,0.031375006,-0.026764503,0.6471509,49.590023,-14.257637,-24.984472,-6.48348,23.962029,0.03765046,0.6769765,4.7190824,2.5456374,23.87749,413.7585,1372.6416,-7.3938785,1238.7759,1164.2661,2.3805428,2196.631,960.8703,-24.708267
1.2228202,-3.5193336,26.64385,0.019983154,-0.02611501,0.45431268,51.598694,-14.197823,-24.886995,-5.513494,23.803375,0.032265414,1.0480144,5.0541635,2.395943,25.108908,420.5735,1369.4108,-10.382892,1249.0468,1166.3998,2.3302107,2204.213,971.9788,-26.418203
1.0951005,-2.8689651,26.891817,0.013669193,-0.026736462,0.3349556,51.31558,-11.862508,-25.10186,-4.6628356,23.629517,0.02342821,1.105319,4.038672,1.4838852,27.11302,468.75253,1484.9388,-9.63668,1311.4238,1195.2521,-0.16464615,2263.9746,926.8264,-30.004974
0.9707648,-2.263061,27.764153,0.0053912885,-0.026951054,0.2633936,56.816467,-15.026164,-22.365484,-4.5396304,23.410845,0.014584031,0.9982032,3.2743368,0.4778069,27.968592,476.79727,1469.3873,-9.759834,1327.0486,1157.523,-2.9021337,2342.5667,918.84796,-32.897884
0.83846766,-2.581123,30.157639,0.005492995,-0.028870016,0.29674613,58.555347,-14.111034,-19.569971,-8.177856,23.210001,0.009508493,0.8877568,3.203867,0.3775026,28.238426,478.8176,1457.8112,-10.501174,1326.2126,1116.8588,-5.3512383,2471.4773,975.95215,-35.147396
0.6984853,-4.35936,31.36962,0.004021761,-0.029725226,0.3395264,59.37077,-13.74746,-13.795171,-10.573707,23.060843,0.007673754,1.4655904,3.1573172,2.087906,28.68128,435.0283,1357.7339,-14.361873,1267.4943,1100.9077,-6.478431,2412.1086,1064.2731,-36.74967
0.5694631,-5.7497864,33.293167,0.0045957365,-0.030113893,0.31306732,56.273808,-9.483567,-8.872134,-11.013034,23.010912,0.008974589,1.887712,3.0818603,3.237331,29.360405,564.47675,1234.6749,-77.76599,1501.8575,1047.7545,-71.6677,2683.3796,995.7137,-92.286156
0.44124508,-7.7222114,35.085785,-0.007467339,-0.02753804,0.26512697,54.494335,-7.6106243,-1.9972324,-8.035489,0.0,0.0,0.0,0.0,0.0,0.0,733.16235,1142.3608,-139.95735,1880.8802,1124.1913,-136.63136,2919.7258,1330.369,-147.21562
0.33732644,-9.904069,36.575985,-0.018535433,-0.022208564,0.19600032,50.873676,-5.071243,5.5371633,-6.2959404,0.0,0.0,0.0,0.0,0.0,0.0,885.63086,982.7054,-201.0,2122.0466,1031.8148,-201.0,3210.3215,1151.3129,-201.0
0.26354182,-12.892676,35.05633,-0.022129865,-0.020854333,0.17179175,48.213898,-4.0245814,11.246722,-9.643833,0.0,0.0,0.0,0.0,0.0,0.0,899.32855,978.1601,-201.0,2120.2385,1037.1012,-201.0,3151.6602,1039.1538,-201.0
0.23640907,-14.582428,30.514181,-0.008205165,-0.021909282,0.12918203,46.08728,-5.8740025,17.437622,-15.895658,0.0,0.0,0.0,0.0,0.0,0.0,860.9065,959.7531,-201.0,2016.2158,852.0366,-201.0,3070.797,565.0877,-201.0
0.21800487,-15.5257225,26.516012,0.004485298,-0.027624346,0.10342125,44.36879,-7.0948005,22.719316,-21.63389,0.0,0.0,0.0,0.0,0.0,0.0,828.7231,1001.3379,-201.0,2023.65,744.3301,-201.0,3067.3738,543.66327,-201.0
0.20706542,-15.921132,22.781847,0.012963309,-0.02702683,0.068991594,43.947453,-9.643258,29.783075,-24.352036,0.0,0.0,0.0,0.0,0.0,0.0,791.4235,1147.8951,-201.0,2075.9124,771.53143,-201.0,2839.298,1147.9835,-201.0
0.17165299,-15.106937,19.406387,0.015010626,-0.026354775,0.07264894,40.966293,-9.887596,33.452953,-26.689344,0.0,0.0,0.0,0.0,0.0,0.0,737.99786,1290.5594,-201.0,2002.1338,890.991,-201.0,2679.3052,1289.5488,-201.0
