F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
36.316,0.09085673,35.527435,36.934013,38.298294,2.7708588,173.05302,226.96046,46.767162,63.491856,0.29921845,0.87569267,0.05014487,0.23528337,0.5129845,0.46283963,5.0872397,3.0827312,5.0568805,3.4685378,0.18883963,1.077904,38.388813,0.29410535,-0.24173048,-85.93378,19.740644,0.8528544,-5.9518585,-2.11375,0.031599108,1.6881183,1.2595351,0.94396806,10.677758,0.27019176,15.01524,0.62734985,37.971092,0.23357008,763.3529,0.24927355,1394.8806,0.17598768,-109.38149,-0.78012604,1897.308,0.111237325,1176.0264,0.26306748,-113.11753,-0.66741496,2987.8743,0.07092174,1062.4889,0.28453133,-116.36204,-0.62254345,-26.457602,-0.3777578,38.67282,0.2809208,0.053129405,0.38736662,-0.023229277,-0.737697,0.25720015,0.714355,45.001762,0.16848314,10.05768,1.5082501,14.966399,1.119796,-7.7819395,-1.5419635,-8.877389,17.246977,0.035811238,0.008182604,0.10473629,4.1215262,3.066038,0.169,0.12775488,0.14031495,0.14949755,-23.566526
36.878826,0.08013318,35.022697,36.826035,39.21434,4.1916428,186.26222,299.48044,78.37672,220.2184,0.38644046,0.34089607,0.2731787,0.36254206,0.48916394,0.21598524,3.0648625,2.2459373,2.2148657,1.4992068,0.18735228,0.58200973,44.27175,0.102434084,-12.724519,-1.3356599,22.676449,0.53911257,-14.643448,-0.79833823,0.030518342,1.1448839,1.3389914,0.5959064,8.812396,0.31182608,11.901971,0.7567345,30.699194,0.2882841,740.4242,0.2675169,1388.926,0.16442154,-117.66248,-0.73464984,1858.54,0.12290259,1175.1884,0.2530504,-118.51253,-0.6599318,2867.3794,0.07813368,964.0774,0.30912164,-119.71568,-0.6425442,-22.20486,-0.36462253,31.870659,0.26034665,0.052010212,0.41378912,-0.026232865,-0.5345799,0.22508669,0.51395553,44.955746,0.10724736,-2.9906042,-5.139231,18.79028,0.721702,-14.298516,-0.8695194,-12.212575,20.37307,0.044878118,-0.013585712,0.15143842,3.7023394,3.4660769,0.13255319,0.13074611,0.15095237,0.14577071,-27.86248
36.33417,0.09096788,34.664394,36.46176,38.933895,4.2695007,193.05188,254.45686,59.088295,97.81639,0.40812907,0.41541293,0.2499812,0.38035142,0.5659863,0.31600508,4.6764817,2.746141,3.393153,2.3734326,0.23372482,0.73415333,44.256004,0.13919537,-2.5295417,-8.111334,24.878294,0.556324,-12.417013,-0.8900133,0.025219092,1.5314702,1.0992686,0.82519996,10.625188,0.2839097,15.930999,0.5718144,35.49667,0.25170138,747.105,0.25770733,1401.9646,0.16336985,-111.80973,-0.76085836,1913.4436,0.121336415,1243.0234,0.26710182,-117.936264,-0.63267875,2917.2222,0.07898642,1047.9696,0.2899262,-118.14581,-0.6297495,-27.770935,-0.30585185,37.293343,0.25937173,0.04938881,0.4057449,-0.028741969,-0.52229124,0.3054947,0.5820128,45.57762,0.13041717,10.257727,1.4589282,19.800674,0.7099628,-12.818247,-0.88139284,-13.438799,21.117624,0.03991352,-0.010682507,0.15439765,3.8511872,2.9571402,0.16765822,0.14895913,0.1561842,0.16665018,-23.315977
26.769802,0.08507088,25.666168,26.426943,27.504726,1.8385582,104.13526,115.599495,43.343693,65.016815,0.5371634,0.54765075,0.24239562,0.52363026,0.79873765,0.556342,6.4890246,3.8493547,4.3559294,2.7600458,0.321048,0.65116066,46.43885,0.15446228,1.36199,12.799027,29.35723,0.57772225,0.50631,31.446617,0.020606939,1.6533617,1.1573638,0.7605937,6.5303445,0.30657926,2.4776073,2.489675,37.71869,0.24467532,585.5996,0.31683734,1425.1415,0.14216681,-79.72146,-1.1286871,1720.778,0.14604834,1112.2297,0.30042988,-90.872475,-0.8831744,2796.6501,0.10704206,1104.6504,0.26377273,-95.380775,-0.80451953,-24.483578,-0.2907843,32.615948,0.2382207,0.039090943,0.46837994,-0.02918356,-0.5471628,0.40191737,0.46293628,49.257973,0.12759045,8.0499325,1.6917188,24.1859,0.67309594,2.4097283,6.7613983,-16.044971,22.971584,0.024080757,-0.008866139,0.18489015,3.40651,2.5956802,0.23379561,0.2279875,0.14015625,0.15570392,-20.885574
28.041862,0.12762916,26.33642,27.487713,29.140808,2.804388,196.5425,354.16052,56.82298,67.989296,0.55180264,0.82860124,0.11733518,0.44538686,0.9592562,0.841921,10.200905,6.03838,6.9802337,3.8043137,0.3016192,0.91946954,42.51058,0.24441156,-6.462119,-3.1886487,29.07703,0.73122275,-2.942632,-5.6755085,0.018108115,1.508761,1.2131228,0.7818824,6.826562,0.35029715,0.6383674,11.201149,31.025496,0.3491268,585.1827,0.3807203,1342.0624,0.16252144,-82.55846,-1.1148269,1695.4812,0.16317518,1059.008,0.30951792,-92.41366,-0.8880524,2753.2717,0.10748572,1012.29376,0.33422908,-95.3344,-0.8342069,-19.796545,-0.5016856,30.038374,0.36640635,0.04621142,0.46658742,-0.023187766,-0.8995322,0.42212614,0.6283932,46.76285,0.16914894,1.031786,17.0244,25.419233,0.9051357,-3.2970307,-5.5426717,-8.499031,17.007107,0.02678076,0.0066528236,0.1105037,3.2102108,2.750339,0.21394365,0.20058702,0.13774435,0.20077156,-20.707094
28.28615,0.10728621,26.71167,27.811089,29.526196,2.8145256,273.42386,573.5304,55.060272,80.32827,0.43129763,0.8218918,0.1028554,0.33960915,0.72366786,0.6208125,8.22375,5.2516646,5.415622,3.2804437,0.29696098,1.0279633,43.933952,0.22895828,-1.0755811,-23.262808,24.05309,0.7402123,-0.88457215,-18.059347,0.02056698,1.2378234,1.1989434,0.8021969,6.9870553,0.35409534,2.678144,2.9139986,41.620396,0.23808745,602.9327,0.3143676,1432.1674,0.14178379,-98.08053,-0.9337638,1749.8533,0.14269671,1207.2606,0.25497875,-109.41715,-0.7291186,2847.3037,0.09291076,1162.4696,0.29139698,-112.98226,-0.67516565,-26.818508,-0.36784986,37.753696,0.2695615,0.044442616,0.46518445,-0.02982853,-0.6947767,0.45761338,0.66598916,49.334675,0.14626409,13.826312,1.1943972,19.393803,0.93881553,-1.8588917,-9.076203,-8.325381,17.51126,0.031950105,0.0075389985,0.10718387,3.3369803,2.8654866,0.17999999,0.15755698,0.15546666,0.18148492,-20.614012
20.656252,0.07178343,19.771767,20.55243,21.399311,1.6275444,1.8893963,1.3105053,3.5326126,2.6881273,0.094664834,0.8698864,0.01774412,0.07352317,0.1634542,0.14571008,1.9832323,1.2138762,1.3707781,0.8459773,0.038558234,1.0651911,37.167603,0.4040479,14.850609,1.2921503,22.744255,0.48941067,-6.6377745,-1.6198996,0.016385468,0.878722,1.556108,0.78560436,4.1366034,0.40029666,0.50988936,7.8045554,48.312164,0.107810184,664.87946,0.24551363,1401.3503,0.13999113,-90.7142,-1.0811175,1905.4338,0.09576872,1233.8683,0.21388388,-106.88694,-0.77576035,2972.025,0.06101788,1118.6855,0.23170543,-107.06854,-0.77176136,-35.7978,-0.17153913,44.242428,0.1477591,0.05991702,0.3079466,-0.02955947,-0.587238,0.05752699,0.69725394,47.986656,0.13619222,27.689795,0.3209832,23.640444,0.45693547,-7.395094,-1.4131876,-11.671626,17.318768,0.062587984,0.009963317,0.01627132,3.2126794,2.230324,0.23298076,0.23621161,0.19190475,0.371058,-37.533646
22.213852,0.15772216,20.131943,21.978542,23.429161,3.2972183,325.9279,632.1109,110.96912,250.31741,0.2550006,0.7796974,0.0559837,0.22860076,0.4091875,0.3532038,4.3569674,2.5157835,3.1922567,1.7371162,0.13408427,0.9569519,37.821793,0.37495232,-0.5236591,-46.130386,22.990236,0.6783484,-7.870653,-2.0244215,0.022859018,1.1048633,1.2703321,0.82891756,3.917447,0.5747895,-0.57552975,-7.1102285,37.616413,0.2771589,647.2599,0.30310813,1444.0085,0.17289728,-87.66615,-1.1318982,1800.9191,0.13350904,1163.3464,0.27431896,-97.76608,-0.9131287,2883.2698,0.090699665,1083.8845,0.30981383,-100.173454,-0.8679429,-26.904022,-0.37283874,34.95709,0.28591436,0.06863149,0.29192668,-0.029173488,-0.5902577,0.18861589,0.66542447,45.878723,0.17183036,9.913243,1.7873617,24.123276,0.6698223,-8.775224,-1.8696193,-8.113732,16.965857,0.06416496,0.0076256203,0.06859304,3.7097769,2.8934948,0.17999999,0.15257598,0.15073529,0.21062453,-27.990046
22.850386,0.289977,20.271667,21.456583,22.82319,2.5515232,348.96643,671.78424,67.55764,51.01455,0.2981471,0.6553421,0.10738343,0.27171853,0.46524057,0.35785714,4.3531404,2.6454327,3.3974695,1.8303381,0.15770388,0.825782,41.54774,0.24809042,-3.4641166,-7.3237395,20.328362,0.67071545,-6.066918,-2.4957256,0.0207292,1.5844827,1.4945403,0.79842955,4.070482,0.4736574,-2.2821693,-3.2170703,33.873085,0.3197805,646.8034,0.30864465,1415.969,0.19020656,-53.9139,-1.7139723,1795.0996,0.12320048,1165.1482,0.26720482,-66.679474,-1.2261277,2879.9934,0.09053278,1098.1208,0.30556357,-70.54987,-1.1204113,-25.510191,-0.49271277,34.995174,0.31776476,0.07670659,0.28717852,-0.02494874,-0.91096574,0.18778405,0.67146426,45.20554,0.18266132,5.7008195,3.5256298,19.666473,0.7295879,-6.676587,-2.3064976,-5.930308,15.393962,0.06486422,0.010250893,0.087252624,3.7261438,3.0955994,0.21754901,0.1846217,0.09674157,0.115552165,-26.32508
23.611555,0.1660446,21.122261,23.27567,25.574396,4.452135,343.19345,745.9864,29.627863,30.73327,0.30843285,0.6350361,0.1255421,0.27205637,0.4658947,0.3403526,3.9775698,2.4580247,2.9954064,1.7497876,0.13277249,0.83718395,42.279785,0.27090135,-5.670551,-4.5589814,33.323177,0.48032117,-0.78135765,-17.050957,0.018525152,0.94739425,1.2194341,0.789022,5.1835313,0.44363603,3.5070987,1.9072859,35.060055,0.32220683,593.68774,0.35522845,1391.8195,0.1623895,-86.27483,-1.04787,1730.8783,0.1507606,1173.508,0.26945812,-98.31059,-0.8101275,2760.0845,0.09271886,1011.4922,0.2957449,-99.23501,-0.79356414,-24.958529,-0.42160478,32.520092,0.34256107,0.02126517,1.203202,-0.023436178,-0.76003176,0.17870633,0.61022025,47.055496,0.18789688,8.28823,2.209825,31.485844,0.5383929,1.3326652,10.3915,-5.0119963,13.241116,0.024136232,0.008209033,0.062743135,3.6029277,2.2355814,0.26092437,0.22781017,0.18091743,0.23227058,-27.361132
